SAL_avg,CellID,Date
5.11E-13,599,2012/5/13
5.10E-13,599,2012/5/14
5.76E-13,599,2012/5/15
3.50E-13,599,2012/5/16
4.43E-14,599,2012/5/17
3.29E-15,599,2012/5/18
5.79E-15,599,2012/5/19
1.07E-14,599,2012/5/20
1.84E-14,599,2012/5/21
2.60E-14,599,2012/5/22
3.06E-14,599,2012/5/23
3.70E-14,599,2012/5/24
3.45E-14,599,2012/5/25
2.99E-14,599,2012/5/26
3.81E-14,599,2012/5/27
4.84E-14,599,2012/5/28
6.00E-14,599,2012/5/29
8.84E-14,599,2012/5/30
9.95E-14,599,2012/5/31
1.72E-13,599,2012/6/1
2.64E-13,599,2012/6/2
3.16E-13,599,2012/6/3
3.88E-13,599,2012/6/4
5.05E-13,599,2012/6/5
7.90E-13,599,2012/6/6
1.26E-12,599,2012/6/7
1.80E-12,599,2012/6/8
2.25E-12,599,2012/6/9
3.01E-12,599,2012/6/10
3.75E-12,599,2012/6/11
4.92E-12,599,2012/6/12
5.43E-12,599,2012/6/13
5.10E-12,599,2012/6/14
7.02E-12,599,2012/6/15
7.53E-12,599,2012/6/16
8.84E-12,599,2012/6/17
1.05E-11,599,2012/6/18
1.46E-11,599,2012/6/19
1.70E-11,599,2012/6/20
2.05E-11,599,2012/6/21
2.49E-11,599,2012/6/22
2.93E-11,599,2012/6/23
3.03E-11,599,2012/6/24
3.68E-11,599,2012/6/25
4.31E-11,599,2012/6/26
5.15E-11,599,2012/6/27
5.71E-11,599,2012/6/28
6.50E-11,599,2012/6/29
7.54E-11,599,2012/6/30
8.81E-11,599,2012/7/1
1.04E-10,599,2012/7/2
1.16E-10,599,2012/7/3
1.48E-10,599,2012/7/4
1.95E-10,599,2012/7/5
2.52E-10,599,2012/7/6
3.07E-10,599,2012/7/7
3.56E-10,599,2012/7/8
4.12E-10,599,2012/7/9
4.92E-10,599,2012/7/10
5.80E-10,599,2012/7/11
7.19E-10,599,2012/7/12
8.27E-10,599,2012/7/13
9.17E-10,599,2012/7/14
9.61E-10,599,2012/7/15
9.90E-10,599,2012/7/16
1.02E-09,599,2012/7/17
1.08E-09,599,2012/7/18
1.14E-09,599,2012/7/19
1.42E-09,599,2012/7/20
