"CellID","H","DX","DY","LAT","LON","FSM"
3258,8.03640365600586,1691.45288085938,2570.92431640625,37.7326583862305,-75.9853439331055,1
3259,6.45244836807251,1859.35595703125,2599.96484375,37.7346076965332,-75.9653396606445,1
3260,5.82163906097412,2049.92065429688,2632.234375,37.7368583679199,-75.9433364868164,1
3261,10,2265.68359375,2668.23461914062,37.7394752502441,-75.9190673828125,1
3262,8,2508.02368164062,2708.53564453125,37.7425384521484,-75.8922271728516,1
3263,6.49126815795898,2759.1845703125,2753.611328125,37.7461357116699,-75.8626327514648,1
3264,3.76018357276917,3007.19311523438,2803.72192382812,37.7503395080566,-75.8302688598633,1
3265,1.00000001335143e-10,3252.88525390625,2859.06518554688,37.7552375793457,-75.7952194213867,0
3266,1.00000001335143e-10,3497.4873046875,2919.88720703125,37.760929107666,-75.7575073242188,0
3267,1.00000001335143e-10,3742.57177734375,2986.48852539062,37.7675285339355,-75.7171936035156,0
3268,1.00000001335143e-10,3990.34912109375,3059.22631835938,37.7751808166504,-75.6743011474609,0
3269,1.00000001335143e-10,4244.19384765625,3138.51928710938,37.7840614318848,-75.6288375854492,0
3270,1.00000001335143e-10,4509.6572265625,3224.85131835938,37.7943801879883,-75.580810546875,0
3271,1.00000001335143e-10,4796.62646484375,3318.77880859375,37.8064270019531,-75.530143737793,0
3272,1.00000001335143e-10,5124.5830078125,3420.958984375,37.8205413818359,-75.4767303466797,0
3273,1.00000001335143e-10,5538.25244140625,3532.26684570312,37.8374214172363,-75.4199371337891,0
3274,1.00000001335143e-10,6173.96826171875,3654.40844726562,37.8575859069824,-75.3596572875977,0
3275,1.00000001335143e-10,8337.0517578125,3800.09887695312,37.8857192993164,-75.2881240844727,0
3276,1.00000001335143e-10,0,0,0,0,0
3277,1.00000001335143e-10,0,0,0,0,0
3278,1.00000001335143e-10,1444.99450683594,1284.12939453125,37.7165412902832,-76.9262008666992,0
3279,1.00000001335143e-10,1637.94201660156,1300.80920410156,37.7164916992188,-76.9085159301758,0
3280,1.00000001335143e-10,1736.26477050781,1319.47241210938,37.7164611816406,-76.8892517089844,0
3281,1.00000001335143e-10,1807.08410644531,1339.48828125,37.7164688110352,-76.8690872192383,0
3282,1.00000001335143e-10,1860.29638671875,1360.60705566406,37.7165107727051,-76.8482208251953,0
3283,1.00000001335143e-10,1899.29870605469,1382.63354492188,37.7165908813477,-76.8268356323242,0
3284,1.00000001335143e-10,1925.4423828125,1405.38671875,37.7167091369629,-76.8050765991211,0
3285,1.00000001335143e-10,1939.19360351562,1428.68725585938,37.7168655395508,-76.783088684082,0
3286,1.00000001335143e-10,1940.55541992188,1452.35314941406,37.7170600891113,-76.7610244750977,0
3287,1.00000001335143e-10,1929.25915527344,1476.19714355469,37.7172927856445,-76.739013671875,0
3288,1.00000001335143e-10,1904.86376953125,1500.02661132812,37.7175598144531,-76.7172012329102,0
3289,1.00000001335143e-10,1866.82043457031,1523.64208984375,37.7178573608398,-76.6957473754883,0
3290,1.00000001335143e-10,1814.51843261719,1546.83801269531,37.7181816101074,-76.6748046875,0
3291,1.00000001335143e-10,1747.43676757812,1569.40270996094,37.7185287475586,-76.654541015625,0
3292,1.00000001335143e-10,1671.94030761719,1591.16442871094,37.7188911437988,-76.6351089477539,0
3293,1.00000001335143e-10,1598.82788085938,1612.06262207031,37.7192649841309,-76.6165313720703,0
3294,3,1529.49890136719,1632.119140625,37.7196464538574,-76.5987548828125,1
3295,4.62715005874634,1464.42102050781,1651.37170410156,37.7200355529785,-76.5817565917969,1
3296,7,1404.03649902344,1669.86682128906,37.7204322814941,-76.5654602050781,1
3297,1.00000001335143e-10,1348.76550292969,1687.65905761719,37.720832824707,-76.5498275756836,0
